Fecha,Hora,pH,DO,Temperatura,LED1,LED2,LED3,LED4,LED5
21/09/2022,23:33:17,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:33:22,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:33:27,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:33:33,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:33:38,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:33:43,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:33:49,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:33:54,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:34:00,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:34:05,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:34:10,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:34:16,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:34:21,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:34:26,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:34:32,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:34:37,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:34:43,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:34:48,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:34:53,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:34:59,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:35:04,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:35:09,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:35:15,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:35:20,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:35:25,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:35:31,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:35:36,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:35:41,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:35:47,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:35:52,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:35:58,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:36:03,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:36:08,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:36:14,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:36:19,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:36:24,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:36:30,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:36:35,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:36:41,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:36:46,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:36:51,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:36:57,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:37:02,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:37:07,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:37:13,0.00,0.00,0.00
